Types;Related Subtypes
amenity|charging_station;amenity|charging_station|motorcar,amenity|charging_station|motorcycle,amenity|charging_station|bicycle,amenity|charging_station|small,amenity|charging_station|carless
amenity|bench;amenity|bench|backless
buoy|lateral|port,spherical_buoy|lateral|port,beacon|lateral|port;lateral|port
buoy|lateral|starboard,spherical_buoy|lateral|starboard,beacon|lateral|starboard;lateral|starboard
buoy|cardinal|east,spherical_buoy|cardinal|east,beacon|cardinal|east;cardinal|east
buoy|cardinal|west,spherical_buoy|cardinal|west,beacon|cardinal|west;cardinal|west
buoy|cardinal|south,spherical_buoy|cardinal|south,beacon|cardinal|south;cardinal|south
buoy|cardinal|north,spherical_buoy|cardinal|north,beacon|cardinal|north;cardinal|north
amenity|recycling|centre,amenity|recycling|container;recycling|clothes,recycling|shoes,recycling|small_appliances,recycling|batteries,recycling|scrap_metal,recycling|green_waste,recycling|glass_bottles,recycling|plastic_bottles,recycling|cans,recycling|cartons,recycling|cardboard,recycling|paper,recycling|plastic
amenity|restaurant,amenity|fast_food,amenity|food_court,amenity|cafe,amenity|bar,amenity|pub,amenity|biergarten;cuisine|breakfast,cuisine|buschenschank,cuisine|coffee_shop,cuisine|fine_dining,cuisine|deli,cuisine|diner,cuisine|friture,cuisine|grill,cuisine|heuriger,cuisine|steak_house,cuisine|tapas,cuisine|african,cuisine|american,cuisine|arab,cuisine|argentinian,cuisine|asian,cuisine|austrian,cuisine|balkan,cuisine|bavarian,cuisine|brazilian,cuisine|caribbean,cuisine|chinese,cuisine|croatian,cuisine|ethiopian,cuisine|filipino,cuisine|french,cuisine|georgian,cuisine|german,cuisine|greek,cuisine|hungarian,cuisine|indian,cuisine|indonesian,cuisine|irish,cuisine|italian,cuisine|japanese,cuisine|korean,cuisine|lao,cuisine|lebanese,cuisine|malagasy,cuisine|malaysian,cuisine|mediterranean,cuisine|mexican,cuisine|oriental,cuisine|moroccan,cuisine|persian,cuisine|peruvian,cuisine|polish,cuisine|portuguese,cuisine|russian,cuisine|spanish,cuisine|thai,cuisine|turkish,cuisine|vietnamese,cuisine|bagel,cuisine|barbecue,cuisine|beef_bowl,cuisine|bubble_tea,cuisine|burger,cuisine|cake,cuisine|chicken,cuisine|crepe,cuisine|curry,cuisine|donut,cuisine|fish,cuisine|fish_and_chips,cuisine|hotdog,cuisine|ice_cream,cuisine|kebab,cuisine|noodles,cuisine|pancake,cuisine|pasta,cuisine|pizza,cuisine|ramen,cuisine|sandwich,cuisine|sausage,cuisine|savory_pancakes,cuisine|seafood,cuisine|soba,cuisine|sushi,cuisine|tea,cuisine|international,cuisine|regional,cuisine|local,cuisine|vegan,cuisine|vegetarian
amenity|toilets;amenity|toilets|private,amenity|toilets|customers
